Row,Col,K Value
35,29,1.75365959999999980e+13
35,31,1.05219576000000859e+13
35,35,3.85805112000000469e+13
35,37,-4.20878304000000859e+13
35,41,1.75365960000000352e+13
36,30,-1.37292955800000100e+16
36,36,2.74585911600000000e+16
36,42,-1.37292955799999900e+16
37,31,-7.36537032000001406e+13
37,35,-4.20878304000000703e+13
37,37,1.47307406399999969e+14
37,41,1.05219575999998398e+13
37,43,-7.36537031999998281e+13
37,47,3.15658727999999219e+13
38,32,-1.14095520000000215e+13
38,34,6.51974400000001172e+12
38,38,2.28191039999999922e+13
38,40,-1.62993599999997559e+12
38,44,-1.14095519999999727e+13
38,46,-4.88980799999998828e+12
39,33,-1.05572565000000090e+05
39,39,2.11145130000000063e+05
39,45,-1.05572564999999959e+05
40,32,-4.88980800000000977e+12
40,34,2.71656000000000537e+12
40,38,-1.62993599999997461e+12
40,40,5.97643199999999414e+12
40,44,6.51974399999998438e+12
40,46,2.71655999999999316e+12
41,31,3.15658728000000625e+13
41,35,1.75365960000000352e+13
41,37,1.05219575999998359e+13
41,41,3.85805111999999688e+13
41,43,-4.20878303999998984e+13
41,47,1.75365959999999570e+13
42,36,-1.37292955799999900e+16
42,42,2.74585911600000000e+16
42,48,-1.37292955800000100e+16
43,37,-7.36537031999998281e+13
43,41,-4.20878303999998984e+13
43,43,1.47307406399999969e+14
43,47,1.05219576000001484e+13
43,49,-7.36537032000001406e+13
43,53,3.15658728000000586e+13
44,38,-1.14095519999999727e+13
44,40,6.51974399999998535e+12
44,44,2.28191039999999922e+13
44,46,-1.62993600000002344e+12
44,50,-1.14095520000000215e+13
44,52,-4.88980800000000977e+12
45,39,-1.05572564999999959e+05
45,45,2.11145130000000063e+05
45,51,-1.05572565000000090e+05
46,38,-4.88980799999998828e+12
46,40,2.71655999999999316e+12
46,44,-1.62993600000002344e+12
46,46,5.97643200000000195e+12
46,50,6.51974400000001172e+12
46,52,2.71656000000000537e+12
47,37,3.15658727999999219e+13
47,41,1.75365959999999570e+13
47,43,1.05219576000001641e+13
47,47,3.85805112000000156e+13
47,49,-4.20878304000000859e+13
47,53,1.75365960000000352e+13
48,42,-1.37292955800000100e+16
48,48,2.74585911600000200e+16
48,54,-1.37292955800000100e+16
49,43,-7.36537032000001406e+13
49,47,-4.20878304000000703e+13
49,49,1.47307406400000281e+14
49,53,1.05219576000000117e+13
49,55,-7.36537032000001406e+13
49,59,3.15658728000000586e+13
50,44,-1.14095520000000215e+13
50,46,6.51974400000001172e+12
50,50,2.28191040000000430e+13
50,52,-1.62993600000000195e+12
50,56,-1.14095520000000215e+13
50,58,-4.88980800000000977e+12
51,45,-1.05572565000000090e+05
51,51,2.11145130000000179e+05
51,57,-1.05572565000000090e+05
52,44,-4.88980800000000977e+12
52,46,2.71656000000000537e+12
52,50,-1.62993600000000195e+12
52,52,5.97643200000001074e+12
52,56,6.51974400000001172e+12
52,58,2.71656000000000537e+12
53,43,3.15658728000000625e+13
53,47,1.75365960000000352e+13
53,49,1.05219576000000234e+13
53,53,3.85805112000000781e+13
53,55,-4.20878304000000859e+13
53,59,1.75365960000000352e+13
54,48,-1.37292955800000100e+16
54,54,2.74585911600000000e+16
54,60,-1.37292955799999900e+16
55,49,-7.36537032000001406e+13
55,53,-4.20878304000000703e+13
55,55,1.47307406399999969e+14
55,59,1.05219575999998398e+13
55,61,-7.36537031999998281e+13
55,65,3.15658727999999219e+13
56,50,-1.14095520000000215e+13
56,52,6.51974400000001172e+12
56,56,2.28191039999999922e+13
56,58,-1.62993599999997559e+12
56,62,-1.14095519999999727e+13
56,64,-4.88980799999998828e+12
57,51,-1.05572565000000090e+05
57,57,2.11145130000000063e+05
57,63,-1.05572564999999959e+05
58,50,-4.88980800000000977e+12
58,52,2.71656000000000537e+12
58,56,-1.62993599999997461e+12
58,58,5.97643199999999414e+12
58,62,6.51974399999998438e+12
58,64,2.71655999999999316e+12
59,49,3.15658728000000625e+13
59,53,1.75365960000000352e+13
59,55,1.05219575999998359e+13
59,59,3.85805111999999688e+13
