2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 354  360 -2.000000e+11
 516  522 -2.000000e+11
 212  218 -2.240011e+15
 500  494 -2.240011e+15
 205  205  1.120022e+15
 254  254  4.480022e+15
 536  530 -2.240011e+15
 338  332 -2.240011e+15
 423  417 -6.565378e+07
  62   62  4.480022e+15
 183  177 -6.565378e+07
 151  151  1.120022e+15
 573  579 -6.565378e+07
 360  360  4.000000e+11
 186  192 -2.000000e+11
   2    2  4.480022e+51
 589  583 -5.600112e+14
 357  357  1.313076e+08
  96   90 -2.000000e+11
 451  445 -5.600112e+14
 390  396 -2.000000e+11
 398  404 -2.240011e+15
 378  384 -2.000000e+11
 572  572  4.480022e+15
 546  546  4.000000e+11
 217  211 -5.600112e+14
 123  117 -6.565378e+07
  60   54 -2.000000e+11
 555  549 -6.565378e+07
 511  505 -5.600112e+14
 199  199  1.120022e+15
 379  385 -5.600112e+14
 579  579  1.313076e+08
 270  270  4.000000e+11
 285  291 -6.565378e+07
 451  457 -5.600112e+14
 104   98 -2.240011e+15
 313  313  1.120022e+15
  37   31 -5.600112e+14
 404  404  4.480022e+15
 271  277 -5.600112e+14
 140  134 -2.240011e+15
 524  518 -2.240011e+15
  86   86  4.480022e+15
 320  326 -2.240011e+15
 423  429 -6.565378e+07
 480  480  4.000000e+11
 589  595 -5.600112e+14
 427  427  1.120022e+15
 541  547 -5.600112e+14
 553  547 -5.600112e+14
 183  189 -6.565378e+07
  98   92 -2.240011e+15
 243  249 -6.565378e+07
 524  524  4.480022e+15
 224  218 -2.240011e+15
 313  319 -5.600112e+14
 207  207  1.313076e+08
 162  168 -2.000000e+11
 110  116 -2.240011e+15
 554  554  4.480022e+15
 537  543 -6.565378e+07
 397  403 -5.600112e+14
 134  128 -2.240011e+15
  13   19 -5.600112e+14
 506  506  4.480022e+15
  19   19  1.120022e+15
 222  228 -2.000000e+11
 572  578 -2.240011e+15
 260  260  4.480022e+15
 129  135 -6.565378e+07
 234  228 -2.000000e+11
 300  306 -2.000000e+11
 434  434  4.480022e+15
 523  517 -5.600112e+14
 135  135  1.313076e+08
 186  186  4.000000e+11
