r/R,f_y [N/m],V_y [N],M_z [Nm],f_z [N/m],V_z [N],M_y [Nm],m_x [Nm/m],T [Nm]
0.2456,66.96031,98.1372331420138,-30.97991078286719,-28.856573,-22.886196848044143,6.273592934245229,0.145603,0.1973768042979311
0.25702857142857144,69.855102,97.58695211940415,-30.192694611526093,-29.69619,-22.650693597136556,6.090440420399509,0.180504,0.19606517945379318
0.2684571428571429,72.780978,97.01325996867311,-29.409999137803563,-30.521817,-22.408492620016556,5.909209265904035,0.21117,0.19448983961379318
0.2798857142857143,75.883556,96.41532096019863,-28.632016045405507,-31.420221,-22.159357471315868,5.729954299191863,0.241223,0.19267028376827594
0.2913142857142857,79.228172,95.79145089282207,-27.85894715337322,-32.314082,-21.903013709180694,5.552732403519686,0.268045,0.1906219727503449
0.30274285714285715,82.630208,95.14044532581518,-27.09100589906488,-33.059748,-21.640075656380695,5.3775990951197175,0.280712,0.18841483425103456
0.3141714285714286,86.201776,94.46139144258207,-26.32841423559364,-33.898948,-21.37076316322759,5.204606535122506,0.292504,0.1861093199668966
0.32560000000000006,90.033829,93.75255968509241,-25.571404743885644,-34.739452,-21.09469478474483,5.033807534603489,0.302607,0.18371574248275868
0.33702857142857146,93.641101,93.01380644939586,-24.820217538853687,-35.353715,-20.812775233059313,4.865252800021534,0.301423,0.1812862921655173
0.34845714285714285,97.338202,92.24567452174344,-24.075091129871836,-36.04662,-20.52559816152828,4.6989870113062,0.300396,0.17886573464275868
0.35988571428571425,101.283662,91.44680368667585,-23.336267314070803,-36.7982,-20.23261127170759,4.53505468205473,0.302771,0.17643975537103454
0.3713142857142857,105.259423,90.61607315445517,-22.6039978673553,-37.4751,-19.933878936811038,4.373502288333295,0.305248,0.1739942610206897
0.38274285714285716,109.066477,89.75403960355861,-21.878536834524446,-38.016045,-19.630248345335175,4.214372639844001,0.30215,0.17155126437517246
0.3941714285714286,113.073579,88.86057697832275,-21.1601365283827,-38.756681,-19.321463146692416,4.057706169898135,0.303934,0.1691135527282759
0.4056,117.181474,87.93447527549793,-20.44905463545561,-40.238116,-19.00374062524138,3.9035595572099155,0.316085,0.16661979355034487
0.41702857142857147,121.474563,86.9745842356469,-19.745558335408028,-40.712499,-18.678151668910346,3.752000387651645,0.328629,0.16402670937931038
0.4284571428571429,125.558658,85.98099958401104,-19.049919049314067,-41.203634,-18.348679332595864,3.603075919789035,0.334426,0.16135985644137935
0.4398857142857144,129.450071,84.95533688916414,-18.362401315306094,-41.706286,-18.015209916430347,3.4568178493750206,0.33902,0.1586512101848276
0.4513142857142857,133.411639,83.89808896315036,-17.683261191464233,-42.180021,-17.677813404413797,3.3132580479907703,0.342508,0.15591005756689658
0.4627428571428572,137.258379,82.80943548385656,-17.01275203106772,-42.591418,-17.33685683044966,3.1724266295013055,0.350167,0.15312407094620692
0.4741714285714286,141.116282,81.68979339906208,-16.351124787726214,-43.102621,-16.992189495657936,3.0343528376572646,0.350574,0.1503056423172414
0.48560000000000003,145.016015,80.53894956726622,-15.69862959532647,-43.523104,-16.643774855520004,2.8990666693151477,0.357059,0.14745949358896554
0.4970285714285715,148.785907,79.3572579747807,-15.055516021267698,-43.901896,-16.292145476209658,2.7665961262981495,0.363592,0.14456098556689656
0.5084571428571429,152.575379,78.14516209895173,-14.42203042549528,-44.269187,-15.937515299619314,2.6369662079225393,0.366801,0.14162329454896552
0.5198857142857144,156.729327,76.9011172400607,-13.79842359714692,-44.910469,-15.578828572866211,2.510205299326446,0.377767,0.13862859070344827
0.5313142857142857,160.716513,75.62432817876415,-13.184955736676171,-45.161579,-15.216552583944832,2.386344152494362,0.381784,0.13557362419862068
0.5427428571428572,165.134452,74.3137331250538,-12.581894513556263,-45.925269,-14.850194999437246,2.2654136201452,0.396134,0.13244478435310345
0.5541714285714285,169.041968,72.96965251716415,-11.98951057902839,-46.126234,-14.47995750599173,2.1474457239992266,0.396348,0.1292573670951724
0.5656,173.728296,71.59100687602759,-11.408077637248326,-46.858903,-14.10596487220966,2.032471172751178,0.412259,0.1260050939751724
0.5770285714285714,177.729386,70.17741984056276,-10.837875247861323,-47.075045,-13.728156055150349,1.9205204187867893,0.409909,0.12269827757793103
0.5884571428571429,182.459899,68.72871369565242,-10.279185199045319,-47.717454,-13.346894086758624,1.811622699871194,0.424917,0.11934054983172414
0.5998857142857144,186.27225,67.24564756257104,-9.732286940522588,-47.955918,-12.962089186411038,1.705806154733866,0.419235,0.11594531227034482
0.6113142857142858,190.988529,65.72827869144828,-9.197456638513318,-48.532175,-12.574007422013796,1.6030982130646705,0.436144,0.11250491894068965
0.6227428571428572,195.148588,64.17520857672828,-8.67497585385952,-48.83861,-12.182375409517244,1.5035263339795055,0.432454,0.1090113578813793
0.6341714285714286,199.91166,62.58624901373794,-8.165132529261175,-49.239908,-11.78789684608552,1.4071162458452466,0.440167,0.10550161603862068
0.6456000000000001,204.58159,60.95934926615173,-7.668223612593371,-49.650924,-11.39015109972414,1.3138925385211349,0.438381,0.10196803539310344
0.6570285714285715,209.630594,59.293359295746214,-7.184558925467171,-49.757162,-10.99032492210207,1.223876720480245,0.429617,0.09847688757517241
0.6684571428571429,214.508455,57.58744278969932,-6.714456278734538,-49.124842,-10.592614682565518,1.1370686489116786,0.399858,0.09514068192
