Theory,Parameter,Scale,uy [m],theta_z [rad],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
lev,E,5.994842503189409,6.812616684258774e-05,9.512111342475239e-05,2.792498619349571,1.809605243832922e-08,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,10.0,4.272783080671323e-05,5.702360937094063e-05,2.6691553628779725,6.503384051379256e-09,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,0.1,0.003806286049288795,0.005702360937094062,2.996286071646953,6.503384051379254e-05,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,0.16681005372000587,0.0022836958055073185,0.0034184755714218485,2.9938099138930117,2.3371950464815865e-05,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,0.2782559402207124,0.0013709269346710465,0.00204932226516744,2.9896885287459534,8.399443493022016e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,0.46415888336127786,0.0008237363724232975,0.001228536421795817,2.9828388375801933,3.018603479357739e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,0.774263682681127,0.000495704248432606,0.0007364882358097797,2.971482443971467,1.0848298429724032e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,1.291549665014884,0.0002990541565015162,0.0004415130979131452,2.9527300545037347,3.8986763125772504e-07,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,2.1544346900318834,0.0001811655235650562,0.0002646801485084551,2.921970398119474,1.401111620289157e-07,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,3.593813663804626,0.0001104931448280176,0.00015867158040289722,2.8720619844763995,5.0353340855106154e-08,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,5.994842503189409,6.812616684258774e-05,9.512111342475239e-05,2.792498619349571,1.809605243832922e-08,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,I,10.0,4.272783080671323e-05,5.702360937094063e-05,2.6691553628779725,6.503384051379256e-09,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,L,0.1,8.513665184148847e-07,5.702360937094064e-06,1.3395783869234121,6.503384051379258e-11,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,0.16681005372000587,2.5505585139466978e-06,1.5867158040289716e-05,2.0754681538271615,5.035334085510611e-10,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,0.2782559402207124,9.501410186492478e-06,4.4151309791314513e-05,2.586008598054939,3.89867631257725e-09,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,0.46415888336127786,4.02028985824237e-05,0.00012285364217958167,2.8367909470025507,3.018603479357738e-08,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,0.774263682681127,0.00018010183344480886,0.00034184755714218476,2.9392276963084294,2.3371950464815856e-07,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,1.291549665014884,0.0008251101810417828,0.0009512111342475241,2.977872410311722,1.8096052438329225e-06,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,2.1544346900318834,0.0038117258508627815,0.0026468014850845496,2.9920100029247036,1.4011116202891554e-05,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,3.593813663804626,0.017662277611730386,0.007364882358097791,2.9971236363385847,0.00010848298429724015,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,5.994842503189409,0.08193067636448212,0.02049322265167439,2.998965653183355,0.0008399443493022007,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
lev,L,10.0,0.3802045167185317,0.05702360937094063,2.999628192905222,0.006503384051379256,2.8727635900443884,2.000000000000001,0.1272364099556128,4.0
