Theory,Parameter,Scale,uy [mm],theta_z [deg],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
Timoshenko,F,0.2146141197858404,0.08280068245404464,0.007011898596308971,2.9560316097511157,2.995407994427927e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.21963853724165458,0.0847391625255822,0.00717605697386982,2.956031609751115,3.13730316087889e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.22478058335487253,0.08672302513354797,0.00734405852921673,2.956031609751115,3.2859200287807436e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2300430119772918,0.08875333274675079,0.007515993236530206,2.956031609751115,3.441577011167029e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2354286414322418,0.09083117270788406,0.007691953176412482,2.9560316097511152,3.60460760458261e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2409403560239525,0.09295765781585819,0.00787203258520179,2.956031609751115,3.775361103603147e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.24658110758226032,0.09513392692176637,0.00805632790544118,2.9560316097511152,3.9542033492020076e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2523539170434766,0.09736114553880262,0.008244937837528847,2.956031609751115,4.141517512567968e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2582618760682676,0.0996405064664591,0.0084379633925777,2.956031609751115,4.337704916053099e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.26430814869741054,0.10197323042933637,0.008635507946512432,2.956031609751115,4.543185893009655e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2704959730463135,0.1043605667309096,0.008837677295433069,2.9560316097511152,4.758400688358224e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2768286630392066,0.10680379392259991,0.009044579712274688,2.9560316097511152,4.9838104018166176e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2833096101839324,0.10930422048850981,0.009256326004793572,2.9560316097511157,5.219897975810313e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.28994228538828765,0.11186318554618944,0.009473029574910957,2.9560316097511152,5.4671692301811606e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.29673024081888694,0.1144820595638082,0.009694806479446049,2.9560316097511152,5.726153945911117e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.30367711180354584,0.11716224509411695,0.00992177549227091,2.956031609751115,5.997407000182969e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.3107866187782013,0.11990517752559297,0.010154058167920496,2.956031609751115,6.281509555209925e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.3180625692794119,0.12271232585117037,0.010391778906691842,2.956031609751115,6.579070303381081e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.3255088599835058,0.12558519345496755,0.010635065021267374,2.956031609751115,6.890726771390593e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.3331294787934673,0.1285253189174329,0.010884046804897905,2.9560316097511152,7.217146686144584e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
