Theory,Parameter,Scale,uy [mm],theta_z [deg],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
Euler-Bernoulli,F,0.14481182276745339,0.055051285425234325,0.004731309467453982,3.0,1.3637898121367776e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.14820207057988583,0.05634011320474656,0.004842076055881884,2.9999999999999996,1.4283937601656453e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.15167168884709228,0.05765911424964963,0.004955435845451322,2.9999999999999996,1.4960580552243666e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.15522253574270473,0.05900899495839244,0.005071449546636958,2.9999999999999996,1.5669276686998124e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.15885651294280528,0.06039047826720203,0.005190179291230795,2.9999999999999996,1.6411544394036298e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.16257556664437942,0.061804304037256126,0.005311688665617194,2.9999999999999996,1.7188973988883163e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.1663816886076129,0.06325122945092002,0.005436042744826937,3.0,1.8003231121738186e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.17027691722259,0.06473202941725978,0.0055633081273885115,2.9999999999999996,1.885606034614643e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.174263338600965,0.06624749698704925,0.005693552970995339,3.0,1.974928885672095e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.17834308769319093,0.06779844377749286,0.005826847029008009,2.9999999999999996,2.0684830403924375e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.18251834943190434,0.06938570040689172,0.005963261687811081,2.9999999999999996,2.1664689394297195e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.1867913599020783,0.07101011693948597,0.00610287000504447,3.0,2.2690965184917622e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.19116440753857022,0.07267256334071152,0.006245746748729874,2.9999999999999996,2.376585658129377e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.19563983435170637,0.07437392994311492,0.006391968437313215,2.9999999999999996,2.4891666548325142e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.20022003718155845,0.07611512792317598,0.006541613380644519,2.9999999999999996,2.6070807144426496e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.2049074689815847,0.07789708978929348,0.006694761721917203,3.0,2.7305804689385617e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.2097046401323233,0.07972076988119521,0.006851495480589202,3.0,2.8599305177027168e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.2146141197858404,0.08158714488104017,0.007011898596308971,3.0,2.995407994427927e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.21963853724165458,0.08349721433648605,0.00717605697386982,3.0,3.13730316087889e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
