[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
390          3.115115     0.0        0.0        (390, 391)
391          3.123123     0.0        0.0        (391, 392)
392          3.131131     0.0        0.0        (392, 393)
393          3.139139     0.0        0.0        (393, 394)
394          3.147147     0.0        0.0        (394, 395)
395          3.155155     0.0        0.0        (395, 396)
396          3.163163     0.0        0.0        (396, 397)
397          3.171171     0.0        0.0        (397, 398)
398          3.179179     0.0        0.0        (398, 399)
399          3.187187     0.0        0.0        (399, 400)
400          3.195195     0.0        0.0        (400, 401)
401          3.203203     0.0        0.0        (401, 402)
402          3.211211     0.0        0.0        (402, 403)
403          3.219219     0.0        0.0        (403, 404)
404          3.227227     0.0        0.0        (404, 405)
405          3.235235     0.0        0.0        (405, 406)
406          3.243243     0.0        0.0        (406, 407)
407          3.251251     0.0        0.0        (407, 408)
408          3.259259     0.0        0.0        (408, 409)
409          3.267267     0.0        0.0        (409, 410)
410          3.275275     0.0        0.0        (410, 411)
411          3.283283     0.0        0.0        (411, 412)
412          3.291291     0.0        0.0        (412, 413)
413          3.299299     0.0        0.0        (413, 414)
414          3.307307     0.0        0.0        (414, 415)
415          3.315315     0.0        0.0        (415, 416)
416          3.323323     0.0        0.0        (416, 417)
417          3.331331     0.0        0.0        (417, 418)
418          3.339339     0.0        0.0        (418, 419)
419          3.347347     0.0        0.0        (419, 420)
420          3.355355     0.0        0.0        (420, 421)
421          3.363363     0.0        0.0        (421, 422)
422          3.371371     0.0        0.0        (422, 423)
423          3.379379     0.0        0.0        (423, 424)
424          3.387387     0.0        0.0        (424, 425)
425          3.395395     0.0        0.0        (425, 426)
426          3.403403     0.0        0.0        (426, 427)
427          3.411411     0.0        0.0        (427, 428)
428          3.419419     0.0        0.0        (428, 429)
429          3.427427     0.0        0.0        (429, 430)
430          3.435435     0.0        0.0        (430, 431)
431          3.443443     0.0        0.0        (431, 432)
432          3.451451     0.0        0.0        (432, 433)
433          3.459459     0.0        0.0        (433, 434)
434          3.467467     0.0        0.0        (434, 435)
435          3.475475     0.0        0.0        (435, 436)
436          3.483483     0.0        0.0        (436, 437)
437          3.491491     0.0        0.0        (437, 438)
438          3.499499     0.0        0.0        (438, 439)
439          3.507508     0.0        0.0        (439, 440)
440          3.515516     0.0        0.0        (440, 441)
441          3.523524     0.0        0.0        (441, 442)
442          3.531532     0.0        0.0        (442, 443)
443          3.539540     0.0        0.0        (443, 444)
444          3.547548     0.0        0.0        (444, 445)
445          3.555556     0.0        0.0        (445, 446)
446          3.563564     0.0        0.0        (446, 447)
447          3.571572     0.0        0.0        (447, 448)
448          3.579580     0.0        0.0        (448, 449)
449          3.587588     0.0        0.0        (449, 450)
450          3.595596     0.0        0.0        (450, 451)
451          3.603604     0.0        0.0        (451, 452)
452          3.611612     0.0        0.0        (452, 453)
453          3.619620     0.0        0.0        (453, 454)
454          3.627628     0.0        0.0        (454, 455)
455          3.635636     0.0        0.0        (455, 456)
456          3.643644     0.0        0.0        (456, 457)
457          3.651652     0.0        0.0        (457, 458)
458          3.659660     0.0        0.0        (458, 459)
459          3.667668     0.0        0.0        (459, 460)
460          3.675676     0.0        0.0        (460, 461)
461          3.683684     0.0        0.0        (461, 462)
462          3.691692     0.0        0.0        (462, 463)
463          3.699700     0.0        0.0        (463, 464)
464          3.707708     0.0        0.0        (464, 465)
465          3.715716     0.0        0.0        (465, 466)
466          3.723724     0.0        0.0        (466, 467)
467          3.731732     0.0        0.0        (467, 468)
468          3.739740     0.0        0.0        (468, 469)
469          3.747748     0.0        0.0        (469, 470)
470          3.755756     0.0        0.0        (470, 471)
471          3.763764     0.0        0.0        (471, 472)
472          3.771772     0.0        0.0        (472, 473)
473          3.779780     0.0        0.0        (473, 474)
474          3.787788     0.0        0.0        (474, 475)
475          3.795796     0.0        0.0        (475, 476)
476          3.803804     0.0        0.0        (476, 477)
477          3.811812     0.0        0.0        (477, 478)
478          3.819820     0.0        0.0        (478, 479)
479          3.827828     0.0        0.0        (479, 480)
480          3.835836     0.0        0.0        (480, 481)
481          3.843844     0.0        0.0        (481, 482)
482          3.851852     0.0        0.0        (482, 483)
483          3.859860     0.0        0.0        (483, 484)
484          3.867868     0.0        0.0        (484, 485)
485          3.875876     0.0        0.0        (485, 486)
486          3.883884     0.0        0.0        (486, 487)
487          3.891892     0.0        0.0        (487, 488)
488          3.899900     0.0        0.0        (488, 489)
489          3.907908     0.0        0.0        (489, 490)
490          3.915916     0.0        0.0        (490, 491)
491          3.923924     0.0        0.0        (491, 492)
492          3.931932     0.0        0.0        (492, 493)
493          3.939940     0.0        0.0        (493, 494)
494          3.947948     0.0        0.0        (494, 495)
495          3.955956     0.0        0.0        (495, 496)
496          3.963964     0.0        0.0        (496, 497)
497          3.971972     0.0        0.0        (497, 498)
498          3.979980     0.0        0.0        (498, 499)
499          3.987988     0.0        0.0        (499, 500)
500          3.995996     0.0        0.0        (500, 501)
501          4.004004     0.0        0.0        (501, 502)
502          4.012012     0.0        0.0        (502, 503)
503          4.020020     0.0        0.0        (503, 504)
504          4.028028     0.0        0.0        (504, 505)
505          4.036036     0.0        0.0        (505, 506)
506          4.044044     0.0        0.0        (506, 507)
507          4.052052     0.0        0.0        (507, 508)
508          4.060060     0.0        0.0        (508, 509)
509          4.068068     0.0        0.0        (509, 510)
510          4.076076     0.0        0.0        (510, 511)
511          4.084084     0.0        0.0        (511, 512)
512          4.092092     0.0        0.0        (512, 513)
513          4.100100     0.0        0.0        (513, 514)
514          4.108108     0.0        0.0        (514, 515)
515          4.116116     0.0        0.0        (515, 516)
516          4.124124     0.0        0.0        (516, 517)
517          4.132132     0.0        0.0        (517, 518)
518          4.140140     0.0        0.0        (518, 519)
519          4.148148     0.0        0.0        (519, 520)
520          4.156156     0.0        0.0        (520, 521)
521          4.164164     0.0        0.0        (521, 522)
